Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
3595933968,"Jun 11, 2020, 2:23:10 AM",Day 1 Training,Run,Plenty of room to improve. Testing how in shape I am right now and I’m wiped 😵,1435,5.21,,,false,,,activities/3595933968.gpx,,,1435.0,1435.0,5214.0,5.8,3.633,19.6,19.2,1657.4,1673.2,10.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5240.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3600923752,"Jun 12, 2020, 2:04:04 AM",Training,Run,,2868,9.03,,,false,,,activities/3600923752.gpx,,,2868.0,2528.0,9029.1,4.9,3.572,38.1,36.6,1640.9,1671.2,10.0,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,66.0,0.0,,1.0,9066.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3618564011,"Jun 15, 2020, 1:57:58 PM",Morning run,Run,,1255,2.87,,,false,,,activities/3618564011.gpx,,,1255.0,708.0,2877.3,5.8,4.064,13.4,14.7,1669.6,1679.6,10.8,0.0,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,30.0,0.0,,1.0,2891.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3651675554,"Jun 22, 2020, 12:26:00 AM", Break from qualifying exams ,Run,,1993,4.86,,,false,,,activities/3651675554.gpx,,,1993.0,1276.0,4861.0,6.2,3.81,19.3,20.7,1668.9,1679.8,13.9,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,40.0,0.0,,1.0,4882.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3719868796,"Jul 5, 2020, 11:03:57 PM",Trail run,Run,Forgot to pause timer for stretching 🙆🏼‍♂️ but oh well,2341,4.89,,,false,,,activities/3719868796.gpx,,,2341.0,1683.0,4893.5,6.1,2.908,14.6,14.7,28.6,43.4,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4904.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3753588190,"Jul 12, 2020, 8:37:30 PM",Trail run,Run,"Drink more water, buddy.",2212,5.22,,,false,,,activities/3753588190.gpx,,,2212.0,1298.0,5224.9,7.2,4.025,15.3,12.6,28.8,44.3,24.3,0.1,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,34.0,0.0,,1.0,5244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3758893984,"Jul 14, 2020, 2:07:42 AM","Endorphins pls, brain. ",Run,,2114,5.34,,,false,,,activities/3758893984.gpx,,,2114.0,1310.0,5345.5,5.7,4.081,14.1,14.8,19.4,27.7,7.7,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,41.0,0.0,,1.0,5359.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3768670634,"Jul 15, 2020, 11:52:58 PM",Hills,Run,🔥,1698,4.89,,,false,,,activities/3768670634.gpx,,,1698.0,1275.0,4894.0,5.2,3.838,86.7,87.7,160.4,228.9,21.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5043.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3798744657,"Jul 22, 2020, 1:56:47 AM",Warm evening run,Run,Keep pushing distance more,3347,8.30,,,false,,,activities/3798744657.gpx,,,3347.0,2075.0,8299.0,5.7,4.0,20.0,22.5,29.0,51.4,6.0,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,54.0,0.0,,1.0,8308.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3806277538,"Jul 23, 2020, 9:56:44 PM",Pace training ,Run,,1677,4.08,,,false,,,activities/3806277538.gpx,,,1677.0,963.0,4084.1,7.8,4.241,11.2,11.0,28.4,39.9,3.5,0.0,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,41.0,0.0,,1.0,4092.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3875910706,"Aug 7, 2020, 12:13:50 AM",Evening run,Run,,1624,4.92,,,false,,,activities/3875910706.gpx,,,1624.0,1235.0,4922.4,6.0,3.986,12.9,12.9,30.4,43.3,4.0,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,39.0,0.0,,1.0,4931.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3889008207,"Aug 9, 2020, 4:01:40 PM",Distance training,Run,Difficult but feels super good to work this hard ,3887,11.44,,,false,,,activities/3889008207.gpx,,,3887.0,2986.0,11445.1,5.5,3.833,67.7,0.7,30.4,98.5,5.8,0.6,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,128.0,0.0,,1.0,11584.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3889112279,"Aug 9, 2020, 5:14:59 PM",Cool down,Run,,849,2.40,,,false,,,activities/3889112279.gpx,,,849.0,758.0,2406.5,4.6,3.175,52.5,16.2,112.5,148.8,24.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2574.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
