Join Date,Name,Completed
"Sep 1, 2020, 10:07:55 PM",September Walk Challenge,false
"Sep 1, 2020, 10:08:07 PM",September Running Challenge,false
"Sep 1, 2020, 10:08:14 PM",September 5K,true
"Sep 1, 2020, 10:08:15 PM",September 10K,true
"Sep 28, 2020, 8:51:08 PM",66ºNorth Iceland Challenge,false
"Oct 5, 2020, 7:40:46 PM",Bose Frames Tempo Challenge,false
"Oct 5, 2020, 7:40:54 PM",October Running Challenge,false
"Oct 5, 2020, 7:41:01 PM",October Running Endurance Challenge,false
"Oct 5, 2020, 7:41:09 PM",October Half Marathon,false
"Oct 5, 2020, 7:41:14 PM",October 5K,true
"Oct 5, 2020, 7:41:24 PM",October 10K,true
"Oct 5, 2020, 7:41:40 PM",October Walk Challenge,false
"Nov 3, 2020, 4:11:41 AM",November 10K,true
"Nov 3, 2020, 4:11:42 AM",November 5K,true
"Nov 3, 2020, 4:11:45 AM",November Running Challenge,false
"Nov 7, 2020, 8:40:33 PM",November Favorite Way 400K,false
"Dec 3, 2020, 5:08:00 AM",December 4x4 Challenge,false
"Dec 3, 2020, 5:08:03 AM",December Walk Challenge,false
"Dec 3, 2020, 5:08:05 AM",December Running Challenge,false
"Dec 3, 2020, 5:08:13 AM",December Half Marathon,false
"Dec 3, 2020, 5:08:17 AM",December 5K,true
"Dec 3, 2020, 5:08:18 AM",December 10K,false
"Dec 3, 2020, 5:08:20 AM",December Running Distance Challenge,false
"Dec 3, 2020, 5:08:23 AM",December Run Climbing Challenge,false
"Jan 23, 2021, 8:58:06 PM",Le Col Project 21 Challenge,false
"Jan 23, 2021, 8:58:28 PM",Movement Challenge with Hyperice & Whoop,true
"Jan 23, 2021, 8:58:39 PM",Conquer Quitter’s Day With Nuun Challenge,false
"Jan 23, 2021, 9:00:35 PM",January Running Challenge,false
"Jan 23, 2021, 9:00:44 PM",January Half Marathon,true
"Jan 23, 2021, 9:00:51 PM",January 5K,true
"Jan 23, 2021, 9:00:54 PM",January 10K,true
"Jan 23, 2021, 9:00:55 PM",January Running Distance Challenge,false
